Product_name,Product_Link,Rating,Price
"(Renewed) Lenovo Tab M8 FHD (8 inch, 4 GB, 64 GB, Wi-Fi+LTE, Calling)",/Renewed-Lenovo-inch-Wi-Fi-Calling/dp/B094JYJ7S7,3.3 out of 5 stars,"13,514"
Lenovo Tab V7 PB-6505MC 2GB RAM 16GB Storage Qualcomm Snapdragon 450 Octa Core 5180mAh 6.9inch (Black),/Lenovo-PB-6505MC-Storage-Qualcomm-Snapdragon/dp/B081QD9LYB,3.5 out of 5 stars,"7,890"
(Renewed) Lenovo Tab M7 (1GB 16GB) (Iron Grey) 4g LTE,/Renewed-Lenovo-16GB-Iron-Grey/dp/B08L3QV5DJ,3.2 out of 5 stars,"6,489"
"(Renewed) Lenovo Tab P11 (11 inch / 27.94 cms, 4 GB, 128 GB, Wi-Fi + LTE, Data Only), Platinum Grey",/Renewed-Lenovo-27-94-Wi-Fi-Platinum/dp/B09C3GH1VB,4.7 out of 5 stars,"21,249"
"Lenovo Tab K10 FHD (10.3 inch (26.16 cm), 3GB, 32GB, Wi-Fi+LTE, Calling), Abyss Blue",/Lenovo-26-16-Wi-Fi-Calling-Abyss/dp/B09H32V439,4.2 out of 5 stars,"16,999"
FUSION5 10.1 inch/25.65 cm 1080p Full HD 4GB RAM 64GB Storage Octa Core 4G Android 10 Cellular Tablet PC (Silver),/FUSION5-Storage-Android-Cellular-Tablet/dp/B08PW7M3VJ,4.2 out of 5 stars,"15,999"
"Lenovo Tab M8 HD 2nd Gen (8 inch/20 cm, 3GB, 32 GB, Wi-Fi)",/Lenovo-Tab-2nd-inch-Wi-Fi/dp/B097BN2SQP,3.9 out of 5 stars,"9,999"
"Samsung Galaxy Tab S6 Lite 26.31 cm (10.4 inch), S-Pen in Box, Slim and Light, Dolby Atmos Sound, 4 GB RAM, 64 GB ROM, Wi-Fi+LTE,Oxford Grey",/Samsung-Galaxy-Lite-Wi-Fi-Oxford/dp/B089M2KDKW,4.5 out of 5 stars,"29,999"
"Lenovo Tab Ideapad Duet 3 26.16 cm (10.3 inch, 4 GB, 128 GB, Wi-Fi) with Bluetooth Keyboard and Digital Pen",/Lenovo-Ideapad-Bluetooth-Keyboard-Digital/dp/B097C4QYKC,3.7 out of 5 stars,"29,009"
"Videotronix Exclusive Printed Back Case, Soft Silicon Tablet Back Cover for Apple ipad 10.2 inch",/Videotronix-Apple-ipad-10-2-inch/dp/B08T7KRCWS,,599
